NAME,VALUE,LABEL
BEST_EDT,01,"BESTMILE<odo, days<366, set BESTMILE todifference in odom readings"
BEST_EDT,02,"BESTMILE>odo, days>365, set BESTMILE todifference in odom readings"
BEST_EDT,03,"BESTMILE<0,  days>365, set BESTMILE to crude odom estimate"
BEST_EDT,04,"BESTMILE capped at 200,000"
BEST_EDT,05,"BESTMILE < 0, no odom readings, BESTMILE set to 0"
BEST_FLG,-1,Appropriate skip
BEST_FLG,1,"Annualized odometer readings based on odometer readings,self-reported VMT, and info on"
BEST_FLG,2,Used same model as in 1; no odometer readings present
BEST_FLG,3,Annualized odometer readings based on odometer readingsand info on primary driver
BEST_FLG,4,Used same model as in 3; no odometer readings present
BEST_FLG,5,Used model involving data from 1 and 3 relatingself-estimated VMT to annualized estimat
BEST_FLG,6,Used travel day information multiplied by adjustmentfactors for probability of driving
BEST_FLG,7,"Assigned ANNMILES value (other truck, RV, motorcycle and other vehicle type)"
BEST_FLG,8,No Best Estimate
BEST_FLG,9,"No Best Estimate, underlying values changed in editing"
BEST_OUT,-1,Appropriate skip
BEST_OUT,01,BESTMILE<(crude estimate)/2
BEST_OUT,02,BESTMILE<(self estimate)/4
BEST_OUT,03,BESTMILE>2*(crude estimate)
BEST_OUT,04,BESTMILE>4*(self estimate)
BORNINUS,-9,Not ascertained
BORNINUS,-8,Don't know
BORNINUS,-7,Refused
BORNINUS,-1,Appropriate skip
BORNINUS,1,Yes
BORNINUS,2,No
CDIVMSAR,11,"New England, MSA 1 million or more, rail"
CDIVMSAR,12,"New England, MSA 1 million or more, no rail"
CDIVMSAR,13,"New England, MSA less than 1 million"
CDIVMSAR,14,"New England, not in MSA"
CDIVMSAR,21,"Mid-Atlantic, MSA 1 million or more, rail"
CDIVMSAR,22,"Mid-Atlantic, MSA 1 million or more, no rail"
CDIVMSAR,23,"Mid-Atlantic, MSA less than 1 million"
CDIVMSAR,24,"Mid-Atlantic, not in MSA"
CDIVMSAR,31,"E North Central, MSA 1 million or more, rail"
CDIVMSAR,32,"E North Central, MSA 1 million or more, no rail"
CDIVMSAR,33,"E North Central, MSA less than 1 million"
CDIVMSAR,34,"E North Central, not in MSA"
CDIVMSAR,42,"W North Central, MSA 1 million or more, no rail"
CDIVMSAR,43,"W North Central, MSA less than 1 million"
CDIVMSAR,44,"W North Central, not in MSA"
CDIVMSAR,51,"So Atlantic, MSA 1 million or more, rail"
CDIVMSAR,52,"So Atlantic, MSA 1 million or more, no rail"
CDIVMSAR,53,"So Atlantic, MSA less than 1 million"
CDIVMSAR,54,"So Atlantic, not in MSA"
CDIVMSAR,62,"E South Central, MSA 1 million or more, no rail"
CDIVMSAR,63,"E South Central, MSA less than 1 million"
CDIVMSAR,64,"E South Central, not in MSA"
CDIVMSAR,72,"W South Central, MSA 1 million or more, no rail"
CDIVMSAR,73,"W South Central, MSA less than 1 million"
CDIVMSAR,74,"W South Central, not in MSA"
CDIVMSAR,82,"Mountain, MSA 1 million or more, no rail"
CDIVMSAR,83,"Mountain, MSA less than 1 million"
CDIVMSAR,84,"Mountain, not in MSA"
CDIVMSAR,91,"Pacific, MSA 1 million or more, rail"
CDIVMSAR,92,"Pacific, MSA 1 million or more, no rail"
CDIVMSAR,94,"Pacific, not in MSA"
CENSUS_D,-9,Not ascertained
CENSUS_D,-1,Appropriate skip
CENSUS_D,0,Puerto Rico and Island Areas
CENSUS_D,1,New England
CENSUS_D,2,Middle Atlantic
CENSUS_D,3,East North Central
CENSUS_D,4,West North Central
CENSUS_D,5,South Atlantic
CENSUS_D,6,East South Central
CENSUS_D,7,West South Central
CENSUS_D,8,Mountain
CENSUS_D,9,Pacific
CENSUS_R,-9,Not ascertained
CENSUS_R,-1,Appropriate skip
CENSUS_R,0,Puerto Rico and Island Areas
CENSUS_R,1,Northeast
CENSUS_R,2,Midwest
CENSUS_R,3,South
CENSUS_R,4,West
COMMDRVR,-9,Not ascertained
COMMDRVR,-8,Don't know
COMMDRVR,-7,Refused
COMMDRVR,-1,Appropriate skip
COMMDRVR,1,Yes
COMMDRVR,2,No
COMMUTE,-9,Not ascertained
COMMUTE,-8,Don't know
COMMUTE,-7,Refused
COMMUTE,1, Yes
COMMUTE,2, No
CONDNIGH,-9,Not ascertained
CONDNIGH,-8,Don't know
CONDNIGH,-7,Refused
CONDNIGH,-1,Appropriate skip
CONDNIGH,1,Yes
CONDNIGH,2,No
CONDPUB,-8,Don't know
CONDPUB,-7,Refused
CONDPUB,-1,Appropriate skip
CONDPUB,1,Yes
CONDPUB,2,No
CONDRIVE,-9,Not ascertained
CONDRIVE,-8,Don't know
CONDRIVE,-7,Refused
CONDRIVE,-1,Appropriate skip
CONDRIVE,1,Yes
CONDRIVE,2,No
CONDSPEC,-9,Not ascertained
CONDSPEC,-8,Don't know
CONDSPEC,-7,Refused
CONDSPEC,-1,Appropriate skip
CONDSPEC,1,Yes
CONDSPEC,2,No
CONDTRAV,-8,Don't know
CONDTRAV,-7,Refused
CONDTRAV,-1,Appropriate skip
CONDTRAV,1,Yes
CONDTRAV,2,No
DIARYCMP,-9,Not ascertained
DIARYCMP,-8,Don't know
DIARYCMP,-7,Refused
DIARYCMP,1,Yes
DIARYCMP,2,No
DRIVER,-9,Not ascertained
DRIVER,-1,Appropriate skip
DRIVER,1,"Yes, a driver"
DRIVER,2,"No, not a driver"
DRV_P2,-9,Not ascertained
DRV_P2,-8,Don't know
DRV_P2,-7,Refused
DRV_P2,-1,Appropriate skip
DRV_P2,1,"Yes, a driver"
DRV_P2,2,"No, not a driver"
DRIVER,-9,Not ascertained
DRIVER,-8,Don't know
DRIVER,-7,Refused
DRIVER,-1,Appropriate skip
DRIVER,1,"Yes, a driver"
DRIVER,2,"No, not a driver"
DRVR_FLG,-9,Not ascertained
DRVR_FLG,-1,Appropriate skip
DRVR_FLG,1,Yes
DRVR_FLG,2,No
DTTIEUP,-9,Not ascertained
DTTIEUP,-8,Don't know
DTTIEUP,-7,Refused
DTTIEUP,-1,Appropriate skip
DTTIEUP,1,Not a problem
DTTIEUP,2,A little problem
DTTIEUP,3,Somewhat of a problem
DTTIEUP,4,Very much of a problem
DTTIEUP,5,A severe problem
EDITMIN,1,Yes
EDITMIN,2,No
EDITRECU,1,Yes
EDITRECU,2,No
EDUC,-9,Not ascertained
EDUC,-8,Don't know
EDUC,-7,Refused
EDUC,-1,Appropriate skip
EDUC,1,Less than high school graduate
EDUC,2,"High school graduate, include GED"
EDUC,3,Vocational/technical training
EDUC,4,"Some college, but no degree"
EDUC,5,"""""Associates degree (for example, AA)"""""
EDUC,6,"""""Bachelors degree (for example, BA, AB, BS)"""""
EDUC,7,"Some graduate or professional school, but no degree"
EDUC,8,"Graduate or professional school degree (for example, MA, MS, MBA, MD, DDS, PhD, EdD, JD)"
STRTTIM,-9,Not ascertained
STRTTIM,-1,Appropriate skip
ENDTRAV,-9,Not ascertained
ENDTRAV,-8,Don't know
ENDTRAV,-7,Refused
ENDTRAV,-1,Appropriate skip
EPATMPGF,-1,Appropriate skip
EPATMPGF,600,Match based on EIA expert analysis; also for motorcycles
EPATMPGF,999,No match could be made
EPATMPGF,400 - 405,"Multiple model names match to NHTSA file using make, model, & year"
EPATMPGF,100 - 105,"Single model name match to NHTSA file using make, model, year, & type"
EPATMPGF,200 - 205,"Multiple model names match to NHTSA file using make, model, year, & type"
EPATMPGF,300 - 305,"Single model name match to NHTSA file using make, model, & year"
EPATMPGF,500 - 505,Single model name match to NHTSA file
ESTMLCAT,-9,Not ascertained
ESTMLCAT,-8,Don't know
ESTMLCAT,-7,Refused
ESTMLCAT,-1,Appropriate skip
ESTMLCAT,1,"5,000 miles or less"
ESTMLCAT,2,"5,001 to 10,000 miles"
ESTMLCAT,3,"10,001 to 15, 000 miles"
ESTMLCAT,4,"15,001 to 20,000 miles"
ESTMLCAT,5,"More than 20,000 miles"
FARREA21,-9,Not ascertained
FARREA21,01,Business
FARREA21,02,Pleasure
FARREA21,03,Personal business
FARREA21,04,Other
FARREAS1,-9,Not ascertained
FARREAS1,-8,Don't know
FARREAS1,-7,Refused
FARREAS1,-1,Appropriate skip
FARREAS1,01,To and from work
FARREAS1,02,"Business (work-related meeting, convention & seminar)"
FARREAS1,03,Combined business and pleasure
FARREAS1,04,School-related activity
FARREAS1,05,Vacation
FARREAS1,06,Visit friends or relatives
FARREAS1,07,Rest or relaxation
FARREAS1,08,Sightseeing
FARREAS1,09,"Outdoor recreation (sports, fishing, hunting, camping boating, etc.)"
FARREAS1,10,"Entertainment (theater, concert, sports event, gambling, etc.)"
FARREAS1,11,Shopping
FARREAS1,12,Went out to eat
FARREAS1,13,Spend the night
FARREAS1,15,Family/Personal business
FARREAS1,16,Religious
FARREAS1,17,Medical
FARREAS1,18,Give someone a ride
FARREAS1,91,Other
FLGFINCM,-9,Not ascertained
FLGFINCM,-8,Don't know
FLGFINCM,-7,Refused
FLGFINCM,-1,Appropriate skip
FLGFINCM,1,Yes
FLGFINCM,2,No
FLGNXTDY,1,Yes
FLGNXTDY,2,No
FLGPRDRV,-1,Appropriate skip
FLGPRDRV,1,"Subject is a driver, but is not a primary driver of anyHH vehicle"
FLGPRDRV,2,Primary driver of one HH vehicle
FLGPRDRV,3,Primary driver of two HH vehicles
FLGPRDRV,4,Primary driver of three or more HH vehicles
FRSTHM,-8,Don't know
FRSTHM,-7,Refused
FRSTHM,-1,Appropriate skip
FRSTHM,1,Yes
FRSTHM,2,No
GT1JBLWK,-9,Not ascertained
GT1JBLWK,-8,Don't know
GT1JBLWK,-7,Refused
GT1JBLWK,-1,Appropriate skip
GT1JBLWK,1,Yes
GT1JBLWK,2,No
HBHUR,-9,Not ascertained
HBHUR,R,Rural
HBHUR,C,Second City
HBHUR,S,Suburban
HBHUR,T,Town
HBHUR,U,Urban
HHC_MSA,0520,"Atlanta, GA"
HHC_MSA,0640,"Austin--San Marcos, TX"
HHC_MSA,1122,"Boston--Worcester--Lawrence, MA--NH--ME--CT"
HHC_MSA,1280,"Buffalo--Niagara Falls, NY"
HHC_MSA,1520,"Charlotte--Gastonia--Rock Hill, NC--SC"
HHC_MSA,1602,"Chicago--Gary--Kenosha, IL--IN--WI"
HHC_MSA,1642,"Cincinnati--Hamilton, OH--KY--IN"
HHC_MSA,1692,"Cleveland--Akron, OH"
HHC_MSA,1840,"Columbus, OH"
HHC_MSA,1880,"Corpus Christi, TX"
HHC_MSA,1922,"Dallas--Fort Worth, TX"
HHC_MSA,2082,"Denver--Boulder--Greeley, CO"
HHC_MSA,2162,"Detroit--Ann Arbor--Flint, MI"
HHC_MSA,3000,"Grand Rapids--Muskegon--Holland, MI"
HHC_MSA,3120,"Greensboro--Winston-Salem--High Point, NC"
HHC_MSA,3280,"Hartford, CT"
HHC_MSA,3320,"Honolulu, HI  (entire Oahu Island)"
HHC_MSA,3362,"Houston--Galveston--Brazoria, TX"
HHC_MSA,3480,"Indianapolis, IN"
HHC_MSA,3600,"Jacksonville, FL"
HHC_MSA,3760,"Kansas City, MO--KS"
HHC_MSA,4120,"Las Vegas, NV--AZ"
HHC_MSA,4472,"Los Angeles--Riverside--Orange County, CA"
HHC_MSA,4520,"Louisville, KY--IN"
HHC_MSA,4920,"Memphis, TN--AR--MS"
HHC_MSA,4992,"Miami--Fort Lauderdale, FL"
HHC_MSA,5082,"Milwaukee--Racine, WI"
HHC_MSA,5120,"Minneapolis--St. Paul, MN--WI"
HHC_MSA,5360,"Nashville, TN"
HHC_MSA,5560,"New Orleans, LA"
HHC_MSA,5602,"New York--Northern New Jersey--Long Island,NY--NJ--CT--PA"
HHC_MSA,5720,"Norfolk--Virginia Beach--Newport News, VA--NC"
HHC_MSA,5880,"Oklahoma City, OK"
HHC_MSA,5960,"Orlando, FL"
HHC_MSA,6162,"Philadelphia--Wilmington--Atlantic City,PA--NJ--DE--MD"
HHC_MSA,6200,"Phoenix--Mesa, AZ"
HHC_MSA,6280,"Pittsburgh, PA"
HHC_MSA,6442,"Portland--Salem, OR--WA"
HHC_MSA,6480,"Providence--Fall River--Warwick, RI--MA"
HHC_MSA,6640,"Raleigh--Durham--Chapel Hill, NC"
HHC_MSA,6840,"Rochester, NY"
HHC_MSA,6922,"Sacramento--Yolo, CA"
HHC_MSA,7040,"St. Louis, MO--IL"
HHC_MSA,7160,"Salt Lake City--Ogden, UT"
HHC_MSA,7240,"San Antonio, TX"
HHC_MSA,7320,"San Diego, CA"
HHC_MSA,7362,"San Francisco--Oakland--San Jose, CA"
HHC_MSA,7602,"Seattle--Tacoma--Bremerton, WA"
HHC_MSA,8280,"Tampa--St. Petersburg--Clearwater, FL"
HHC_MSA,8872,"Washington--Baltimore, DC--MD--VA--WV"
HHC_MSA,8960,"West Palm Beach--Boca Raton, FL"
HHC_MSA,9999,HH not in an MSA
HHC_MSA,XXXX,"Suppressed, in an MSA of less than 1 million"
HHFAMINC,-9,Not ascertained
HHFAMINC,-8,Don't know
HHFAMINC,-7,Refused
HHFAMINC,-1,Appropriate skip
HHFAMINC,01,"< $5,000"
HHFAMINC,02,"$5,000 - $9,999"
HHFAMINC,03,"$10,000 - $14,999"
HHFAMINC,04,"$15,000 - $19,999"
HHFAMINC,05,"$20,000 - $24,999"
HHFAMINC,06,"$25,000 - $29,999"
HHFAMINC,07,"$30,000 - $34,999"
HHFAMINC,08,"$35,000 - $39,999"
HHFAMINC,09,"$40,000 - $44,999"
HHFAMINC,10,"$45,000 - $49,999"
HHFAMINC,11,"$50,000 - $54,999"
HHFAMINC,12,"$55,000 - $59,999"
HHFAMINC,13,"$60,000 - $64,999"
HHFAMINC,14,"$65,000 - $69,999"
HHFAMINC,15,"$70,000 - $74,999"
HHFAMINC,16,"$75,000 - $79,999"
HHFAMINC,17,"$80,000 - $99,999"
HHFAMINC,18,>
HHINCTTL,-9,Not ascertained
HHINCTTL,-8,Don't know
HHINCTTL,-7,Refused
HHINCTTL,-1,Appropriate skip
HHINCTTL,01,"< $5,000"
HHINCTTL,02,"$5,000 - $9,999"
HHINCTTL,03,"$10,000 - $14,999"
HHINCTTL,04,"$15,000 - $19,999"
HHINCTTL,05,"$20,000 - $24,999"
HHINCTTL,06,"$25,000 - $29,999"
HHINCTTL,07,"$30,000 - $34,999"
HHINCTTL,08,"$35,000 - $39,999"
HHINCTTL,09,"$40,000 - $44,999"
HHINCTTL,10,"$45,000 - $49,999"
HHINCTTL,11,"$50,000 - $54,999"
HHINCTTL,12,"$55,000 - $59,999"
HHINCTTL,13,"$60,000 - $64,999"
HHINCTTL,14,"$65,000 - $69,999"
HHINCTTL,15,"$70,000 - $74,999"
HHINCTTL,16,"$75,000 - $79,999"
HHINCTTL,17,"$80,000 - $99,999"
HHINCTTL,18,>
HHMEMDRV,-9,Not ascertained
HHMEMDRV,-8,Don't know
HHMEMDRV,-7,Refused
HHMEMDRV,-1,Appropriate skip
HHMEMDRV,1,Yes
HHMEMDRV,2,No
HHMEMDRV,3,Drove on part of trip
HHR_DRVR,1,"Yes, a driver"
HHR_DRVR,2,"No, not a driver"
HHR_EDUC,-9,Not ascertained
HHR_EDUC,-8,Don't know
HHR_EDUC,-7,Refused
HHR_EDUC,-1,Appropriate skip
HHR_EDUC,1,Less than high school graduate
HHR_EDUC,2,"High school graduate, include GED"
HHR_EDUC,3,Vocational/technical training
HHR_EDUC,4,"Some college, but no degree"
HHR_EDUC,5,"""""Associates degree (for example, AA)"""""
HHR_EDUC,6,"""""Bachelors degree (for example, BA, AB, BS)"""""
HHR_EDUC,7,"Some graduate or professional school, but no degree"
HHR_EDUC,8,"Graduate or professional school degree (for example, MA,MS, MBA, MD, DDS, PhD, EdD, JD)"
HHR_HISP,-8,Don't know
HHR_HISP,-7,Refused
HHR_HISP,1,Yes
HHR_HISP,2,No
HHR_RACE,-9,Not ascertained
HHR_RACE,-8,Don't know
HHR_RACE,-7,Refused
HHR_RACE,01,White
HHR_RACE,02,"African American, Black"
HHR_RACE,03,Asian Only
HHR_RACE,04,"American Indian, Alaskan Native"
HHR_RACE,05,"Native Hawaiian, other Pacific Islander"
HHR_RACE,06,Hispanic/Mexican Only
HHR_RACE,07,White & African American
HHR_RACE,08,White & Asian
HHR_RACE,09,White & American Indian
HHR_RACE,10,White & Hispanic
HHR_RACE,11,African American & Hispanic
HHR_RACE,12,American Indian & Hispanic
HHR_RACE,13,Other Combination 2 Races
HHR_RACE,14,Other Combination 3 Races
HHR_RACE,15,Other Combination 4 Races
HHR_RACE,16,Other multiracial not listed above
HHR_RACE,17,Other specify
HHR_SEX,1,Male
HHR_SEX,2,Female
HHR_STAT,1,Completed Interview - Self
HHR_STAT,2,Completed Interview - Proxy
HHR_STAT,3,Language Barrier
HHR_STAT,4,Refusal
HHR_STAT,5,Max-Call
HHR_STAT,6,"Interview not Possible, deceased"
HHR_STAT,8,No Contact
HHR_WRKR,-9,Not ascertained
HHR_WRKR,-8,Don't know
HHR_WRKR,1,Yes
HHR_WRKR,2,No
HHSTATE,VA,VA
HHSTATE,PA,PA
HHSTATE,SC,SC
HHSTATE,TN,TN
HHSTATE,TX,TX
HHSTATE,UT,UT
HHSTATE,WA,WA
HHSTATE,WI,WI
HHSTATE,AL,AL
HHSTATE,MO,MO
HHSTATE,MN,MN
HHSTATE,MI,MI
HHSTATE,MD,MD
HHSTATE,MA,MA
HHSTATE,LA,LA
HHSTATE,KY,KY
HHSTATE,KS,KS
HHSTATE,IN,IN
HHSTATE,IL,IL
HHSTATE,IA,IA
HHSTATE,GA,GA
HHSTATE,FL,FL
HHSTATE,CT,CT
HHSTATE,CO,CO
HHSTATE,CA,CA
HHSTATE,AZ,AZ
HHSTATE,AR,AR
HHSTATE,MS,MS
HHSTATE,NC,NC
HHSTATE,NJ,NJ
HHSTATE,NY,NY
HHSTATE,XX,Suppressed for confidential reason
HHSTATE,OR,OR
HHSTATE,OK,OK
HHSTATE,OH,OH
HHSTFIPS,-9,Not ascertained
HHSTFIPS,-7,Refused
HHSTFIPS,-1,Appropriate skip
HHSTFIPS,01,Alabama
HHSTFIPS,02,Alaska
HHSTFIPS,04,Arizona
HHSTFIPS,05,Arkansas
HHSTFIPS,06,California
HHSTFIPS,08,Colorado
HHSTFIPS,09,Connecticut
HHSTFIPS,10,Delaware
HHSTFIPS,11,District of Columbia
HHSTFIPS,12,Florida
HHSTFIPS,13,Georgia
HHSTFIPS,15,Hawaii
HHSTFIPS,16,Idaho
HHSTFIPS,17,Illinois
HHSTFIPS,18,Indiana
HHSTFIPS,19,Iowa
HHSTFIPS,20,Kansas
HHSTFIPS,21,Kentucky
HHSTFIPS,22,Louisiana
HHSTFIPS,23,Maine
HHSTFIPS,24,Maryland
HHSTFIPS,25,Massachusetts
HHSTFIPS,26,Michigan
HHSTFIPS,27,Minnesota
HHSTFIPS,28,Mississippi
HHSTFIPS,29,Missouri
HHSTFIPS,30,Montana
HHSTFIPS,31,Nebraska
HHSTFIPS,32,Nevada
HHSTFIPS,33,New Hampshire
HHSTFIPS,34,New Jersey
HHSTFIPS,35,New Mexico
HHSTFIPS,36,New York
HHSTFIPS,37,North Carolina
HHSTFIPS,38,North Dakota
HHSTFIPS,39,Ohio
HHSTFIPS,40,Oklahoma
HHSTFIPS,41,Oregon
HHSTFIPS,42,Pennsylvania
HHSTFIPS,44,Rhode Island
HHSTFIPS,45,South Carolina
HHSTFIPS,46,South Dakota
HHSTFIPS,47,Tennessee
HHSTFIPS,48,Texas
HHSTFIPS,49,Utah
HHSTFIPS,50,Vermont
HHSTFIPS,51,Virginia
HHSTFIPS,53,Washington
HHSTFIPS,54,West Virginia
HHSTFIPS,55,Wisconsin
HHSTFIPS,56,Wyoming
HHSTFIPS,XX,Suppressed for confidential reason
HOMEGEO,1,Street address
HOMEGEO,2,Nearest intersection
HOMEGEO,4,Zip code centroid
HOMEGEO,6,Unable to geocode
HOMEOWN,-8,Don't know
HOMEOWN,-7,Refused
HOMEOWN,1,Own
HOMEOWN,2,Rent
HOMEOWN,3,Provided by job or military
HOMEOWN,91,Other
HOMETYPE,-8,Don't know
HOMETYPE,-7,Refused
HOMETYPE,1,Detached single house
HOMETYPE,2,Duplex
HOMETYPE,3,Rowhouse or townhouse
HOMETYPE,4,"Apartment, condominium"
HOMETYPE,5,Mobile home or trailer
HOMETYPE,6,"Dorm room, fraternity or sorority house"
HOMETYPE,91,Other
HTHUR,-9,Not ascertained
HTHUR,R,Rural
HTHUR,U,Urban
HTHUR,T,Town
HTHUR,C,Second City
HTHUR,S,Suburban
IFARCTRY,-9,Not ascertained
IFARCTRY,-1,Appropriate skip
IMPTHOWN,1,Yes
IMPTHOWN,2,No
INCM_P4,-8,Don't know
INCM_P4,-7,Refused
INCM_P4,-1,Appropriate skip
INCM_P4,01,"< $5,000"
INCM_P4,02,"$5,000 - $9,999"
INCM_P4,03,"$10,000 - $14,999"
INCM_P4,04,"$15,000 - $19,999"
INCM_P4,05,"$20,000 - $24,999"
INCM_P4,06,"$25,000 - $29,999"
INCM_P4,07,"$30,000 - $34,999"
INCM_P4,08,"$35,000 - $39,999"
INCM_P4,09,"$40,000 - $44,999"
INCM_P4,10,"$45,000 - $49,999"
INCM_P4,11,"$50,000 - $54,999"
INCM_P4,12,"$55,000 - $59,999"
INCM_P4,13,"$60,000 - $64,999"
INCM_P4,14,"$65,000 - $69,999"
INCM_P4,15,"$70,000 - $74,999"
INCM_P4,16,"$75,000 - $79,999"
INCM_P4,17,"$80,000 - $99,999"
INCM_P4,18,>
INC_P9,-1,Appropriate skip
INC_P9,1,Yes
INC_P9,2,No
INDVINC,-8,Don't know
INDVINC,-7,Refused
INDVINC,-1,Appropriate skip
INDVINC,01,"< $5,000"
INDVINC,02,"$5,000 - $9,999"
INDVINC,03,"$10,000 - $14,999"
INDVINC,04,"$15,000 - $19,999"
INDVINC,05,"$20,000 - $24,999"
INDVINC,06,"$25,000 - $29,999"
INDVINC,07,"$30,000 - $34,999"
INDVINC,08,"$35,000 - $39,999"
INDVINC,09,"$40,000 - $44,999"
INDVINC,10,"$45,000 - $49,999"
INDVINC,11,"$50,000 - $54,999"
INDVINC,12,"$55,000 - $59,999"
INDVINC,13,"$60,000 - $64,999"
INDVINC,14,"$65,000 - $69,999"
INDVINC,15,"$70,000 - $74,999"
INDVINC,16,"$75,000 - $79,999"
INDVINC,17,"$80,000 - $99,999"
INDVINC,18,>
INT_FLAG,-9,Not ascertained
INT_FLAG,1, Yes
INT_FLAG,2, No
LANG,1,English
LANG,2,Spanish
LASTRPMM,-9,Not ascertained
LASTRPMM,-8,Don't know
LASTRPMM,-7,Refused
LASTRPMM,-1,Appropriate skip
LASTRPMM,01,January
LASTRPMM,02,February
LASTRPMM,03,March
LASTRPMM,04,April
LASTRPMM,05,May
LASTRPMM,06,June
LASTRPMM,07,July
LASTRPMM,08,August
LASTRPMM,09,September
LASTRPMM,10,October
LASTRPMM,11,November
LASTRPMM,12,December
LASTRPYY,-9,Not ascertained
LASTRPYY,-8,Don't know
LASTRPYY,-7,Refused
LASTRPYY,-1,Appropriate skip
LIF_CYC,-9,Not ascertained
LIF_CYC,-8,Don't know
LIF_CYC,01,"one adult, no children"
LIF_CYC,02,"2+ adults, no children"
LIF_CYC,03,"one adult, youngest child 0-5"
LIF_CYC,04,"2+ adults, youngest child 0-5"
LIF_CYC,05,"one adult, youngest child 6-15"
LIF_CYC,06,"2+ adults, youngest child 6-15"
LIF_CYC,07,"one adult, youngest child 16-21"
LIF_CYC,08,"2+ adults, youngest child 16-21"
LIF_CYC,09,"one adult, retired, no children"
LIF_CYC,10,"2+ adults, retired, no children"
LSTTRDT,-9,Not ascertained
LSTTRDT,-8,Don't know
LSTTRDT,-7,Refused
LSTTRDT,-1,Appropriate skip
LVEMNT,01,January
LVEMNT,02,February
LVEMNT,03,March
LVEMNT,04,April
LVEMNT,05,May
LVEMNT,06,June
LVEMNT,07,July
LVEMNT,08,August
LVEMNT,09,September
LVEMNT,10,October
LVEMNT,11,November
LVEMNT,12,December
MAILHOME,-1,Appropriate skip
MAILHOME,1,Yes
MAILHOME,2,No
MAINDRVR,-9,Not ascertained
MAINDRVR,-8,Don't know
MAINDRVR,-7,Refused
MAINDRVR,-1,Appropriate skip
MAINDRVR,1,Yes
MAINDRVR,01,Yes
MAINDRVR,02,No
MAINDRVR,2,No
MAINMOD2,-9,Not ascertained
MAINMOD2,01,Personal Vehicle
MAINMOD2,02,Air
MAINMOD2,03,Bus
MAINMOD2,04,Train
MAINMOD2,05,Ship
MAINMOD2,06,Other
RETMOD2,-9,Not ascertained
RETMOD2,01,Personal Vehicle
RETMOD2,02,Air
RETMOD2,03,Bus
RETMOD2,04,Train
RETMOD2,05,Ship
RETMOD2,06,Other
MAKECODE,-8,Don't know
MAKECODE,-7,Refused
MAKECODE,2,2
MAKECODE,6,6
MAKECODE,7,7
MAKECODE,9,9
MAKECODE,10,10
MAKECODE,12,12
MAKECODE,13,13
MAKECODE,14,14
MAKECODE,18,18
MAKECODE,19,19
MAKECODE,20,20
MAKECODE,21,21
MAKECODE,22,22
MAKECODE,23,23
MAKECODE,24,24
MAKECODE,30,30
MAKECODE,32,32
MAKECODE,34,34
MAKECODE,35,35
MAKECODE,37,37
MAKECODE,38,38
MAKECODE,39,39
MAKECODE,41,41
MAKECODE,42,42
MAKECODE,45,45
MAKECODE,47,47
MAKECODE,48,48
MAKECODE,49,49
MAKECODE,51,51
MAKECODE,52,52
MAKECODE,53,53
MAKECODE,54,54
MAKECODE,55,55
MAKECODE,58,58
MAKECODE,59,59
MAKECODE,63,63
MAKECODE,72,72
